"filename", "language", "JavaScript", "JSON", "Markdown", "XML", "CSS", "HTML", "SCSS", "vue", "comment", "blank", "total"
"d:\workspace\user-pc-vite\entries\development-document\src\layouts\layout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 69, 14, 2, 85
"d:\workspace\user-pc-vite\entries\development-document\src\pages\comp_api\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 8, 5, 2, 15
"d:\workspace\user-pc-vite\entries\development-document\src\pages\doc_api\index.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 64, 5, 5, 74
"d:\workspace\user-pc-vite\entries\development-document\src\pages\doc_api\is_compont.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 29, 5, 2, 36
"d:\workspace\user-pc-vite\entries\development-document\src\styles\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 23
"d:\workspace\user-pc-vite\entries\entries.doc.json", "JSON", 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 158
"d:\workspace\user-pc-vite\entries\full-sdk\components.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11
"d:\workspace\user-pc-vite\entries\full-sdk\full-sdk.install.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 5, 17, 62
"d:\workspace\user-pc-vite\entries\full-sdk\full-sdk.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 14, 8, 62
"d:\workspace\user-pc-vite\entries\full-version\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 18, 0, 11, 29
"d:\workspace\user-pc-vite\entries\full-version\full-version.vite.config.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 19, 7, 66
"d:\workspace\user-pc-vite\entries\full-version\index.html", "HTML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\workspace\user-pc-vite\entries\full-version\main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 5, 9, 25
"d:\workspace\user-pc-vite\entries\postmessage-test\App.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 9, 0, 6, 15
"d:\workspace\user-pc-vite\entries\postmessage-test\main.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\workspace\user-pc-vite\entries\postmessage-test\postmessage-test.vite.config.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 20, 7, 62
"d:\workspace\user-pc-vite\entries\self-use-version\self-use-version.vite.config.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 8, 10, 76
"d:\workspace\user-pc-vite\job\build-in-config-fn.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 35, 4, 111
"d:\workspace\user-pc-vite\job\build-in-oss.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"d:\workspace\user-pc-vite\job\copy-html.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 11, 20, 66
"d:\workspace\user-pc-vite\job\copy-oss.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 23, 22, 124
"d:\workspace\user-pc-vite\job\default-config\merchant-config-ouzhou-h5.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\workspace\user-pc-vite\job\default-config\merchant-config-ouzhou-pc.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\workspace\user-pc-vite\job\default-config\merchant-config-yazhou-h5.json", "JSON", 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\workspace\user-pc-vite\job\default-config\merchant-config-yazhou-pc.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\workspace\user-pc-vite\job\export-build-in-config.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 27, 6, 135
"d:\workspace\user-pc-vite\job\export-build-version.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 5, 3, 25
"d:\workspace\user-pc-vite\job\export-full-doc.js", "JavaScript", 217, 0, 0, 0, 0, 0, 0, 0, 50, 12, 279
"d:\workspace\user-pc-vite\job\export-full-version-config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 9, 1, 25
"d:\workspace\user-pc-vite\job\export-merchant-config.js", "JavaScript", 48, 0, 0, 0, 0, 0, 0, 0, 17, 4, 69
"d:\workspace\user-pc-vite\job\export-server-resource.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 20, 7, 82
"d:\workspace\user-pc-vite\job\html-variables.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 15, 33, 92
"d:\workspace\user-pc-vite\job\job.doc.json", "JSON", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 260
"d:\workspace\user-pc-vite\job\merge-merchant-config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 21, 13, 55
"d:\workspace\user-pc-vite\job\read-env-file.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 4, 9, 53
"d:\workspace\user-pc-vite\job\remove-dist.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 6, 2, 21
